Date Executed,Period Date For Workload,Period Type,Client,DB,System ID,OS,SAP Release,Hostname,,,,,,,,,,,
fin.ap.paymentmedia.manage,1,3,3,51184,0.042,0.001,0,0,0.0051,0.0481,F,Payment Media Manage,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.paymentmedia.manage(Payment Media Manage),FI-FIO-AP,,,
/IWFND/ROUTING,1,50,11090,172,0.042,0.001,0.001,0.004,0,0.048,T,SAP Gateway Routing Configuration,OP,Gateway Framework,Application Components->Occasional Platform User->OPU-GW (Gateway)->Gateway Framework->/IWFND/ROUTING(SAP Gateway Routing Configuration),SAP->OPU->OPU-GW->OPU-GW-COR->/IWFND/ROU,,,
RS_TESTFRAME_CALL,1,18,49016,184,0.042,0,0.002,0.004,0,0.048,R,Call test environment,BC,Function Builder,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->Function Builder->RS_TESTFRAME_CALL(Call test environment),SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
/1BCDWB/DBDF14L,1,73,11568,184,0.042,0.001,0.001,0.004,0,0.048,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->/1BCDWB/DBDF14L(),SAP->CA->/1BCDWB/DBDF14L(),,,
BCALV_TEST_HIERSEQ_LIST,1,41,16097,184,0.042,0.001,0.001,0.004,0,0.048,R,Program BCALV_TEST_HIERSEQ_LIST,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BCALV_TEST_HIERSEQ_LIST(Program BCALV_TEST_HIERSEQ_LIST),SAP->BC->BC-SRV->BC-SRV-ALV->BCALV_TEST_,,,
KBH3,1,8,5,104529,0.042,0.003,0,0.001,0.00195,0.04795,W,Display statistical key figure group,CO,Controlling,Application Components->Controlling->Overhead Cost Controlling->KBH3(Display statistical key figure group),CO-OM,,,
MKVZ,1,9,10613,24,0.042,0,0,0.001,0.00495,0.04795,T,List of Suppliers: Purchasing,MM,Purchasing,Application Components->Materials Management->Purchasing->MKVZ(List of Suppliers: Purchasing),SAP->MM->MM-PUR->MKVZ(List of Suppliers:,,,
fin.ar.downpayment.request.manage,1,1,3,252244,0.042,0,0,0.002,0.00375,0.04775,F,Fiori App - Manage Down Payment Requests,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI  for Accounts Receivable->fin.ar.downpayment.request.manage(Fiori App - Manage Down Payment Requests),FI-FIO-AR,,,
mdm.cmd.cmpimportfiles1,1,3,1,32887,0.042,0.001,0,0,0.00465,0.04765,F,MD CMP Import Master Data from file,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Consolidation & Mass Processing->Consolidation & Mass Processing->mdm.cmd.cmpimportfiles1(MD CMP Import Master Data from f,CA-MDG-CMP-FIO,,,
CRMD_TRANS_OM,1,8,6,140838,0.042,0.003,0,0.001,0.00165,0.04765,W,Translate Short Text for Org Units,CRM,Customer Relationship Management,Application Components->Customer Relationship Management->Master Data->Organizational Management->CRMD_TRANS_OM(Translate Short Text for Org Units),CRM-MD-ORG,,,
F-43,1,8,3,144462,0.042,0.003,0,0.001,0.00165,0.04765,W,Enter Vendor Invoice,FI,Financial Accounting,Application Components->Financial Accounting->F-43(Enter Vendor Invoice),FI,,,
MK02,1,7,3,117725,0.042,0.003,0,0.001,0.0015,0.0475,W,Change vendor (Purchasing),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->MK02(Change vendor (Purchasing)),LO-MD-BP-VM,,,
FB50,1,5,3,201326,0.042,0.002,0,0.002,0.00105,0.04705,W,G/L Acct Pstg: Single Screen Trans.,FI,Financial Accounting,Application Components->Financial Accounting->FB50(G/L Acct Pstg: Single Screen Trans.),FI,,,
fin.cons.vecie,1,1,2,64969,0.042,0,0,0.001,0.00405,0.04705,F,Validation Export/Import,FIN,Financials,Application Components->Financials->S4HANA Financial Consolidation[Cloud]->fin.cons.vecie(Validation Export/Import),FIN-CS,,,
ZJUNK77,1,5,21690,184,0.042,0,0.001,0.004,0,0.047,R,Test Download Of Manifest Table,CA,Cross-Application Components,Application Components->Cross-Application Components->ZJUNK77(Test Download Of Manifest Table),SAP->CA->ZJUNK77(Test Download Of Manife,,,
VD05,1,1,826,230,0.042,0,0,0.005,0,0.047,T,Block customer (sales),LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->VD05(Block customer (sales)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->V,,,
SAPTLIST_TREE_CONTROL_DEMO_HDR,1,63,6058,184,0.042,0.001,0,0.004,0,0.047,R,Example: List Tree Control with Header (,BC,Workbench Utilities,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Utilities->SAPTLIST_TREE_CONTROL_DEMO_HDR(Example: List Tree Control with Header (with Documentation)),SAP->BC->BC-DWB->BC-DWB-UTL->SAPTLIST_TR,,,
OBVU,1,9,320,0,0.042,0,0,0,0.00495,0.04695,T,C FI Maintain View,FI,Basic Functions,Application Components->Financial Accounting->Accounts Receivable->Basic Functions->OBVU(C FI Maintain View),SAP->FI->FI-AR->FI-AR-AR->OBVU(C FI Main,,,
MM60,1,26,5298,10,0.042,0,0,0,0.00495,0.04695,T,Materials List,LO,Material Master,Application Components->Logistics - General->Logistics Basic Data->Material Master->MM60(Materials List),SAP->LO->LO-MD->LO-MD-MM->MM60(Materials,,,
F.20,1,7,2453,5,0.042,0,0,0,0.00495,0.04695,T,A/R: Account List,FI,Financial Accounting,Application Components->Financial Accounting->F.20(A/R: Account List),SAP->FI->F.20(A/R: Account List),,,
FI03,1,5,466,9,0.042,0,0,0,0.00495,0.04695,T,Display Bank,CA,Bank,Application Components->Cross-Application Components->Bank->FI03(Display Bank),SAP->CA->CA-BK->FI03(Display Bank),,,
SLG1,1,5,2065,4,0.042,0,0,0,0.00495,0.04695,T,Application Log: Display Logs,BC,Basis Application Log,Application Components->Basis Components->Basis Services / Communication Interfaces->Basis Application Log->SLG1(Application Log: Display Logs),SAP->BC->BC-SRV->BC-SRV-BAL->SLG1(Applic,,,
VA05,1,6,12,59551,0.042,0.002,0,0.001,0.00195,0.04695,W,List of Sales Orders,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->Basic Functions->VA05(List of Sales Orders),SD-SLS-GF,,,
ssuite.smartbusiness.tiles.comparison,1,2,2,11564,0.042,0.001,0,0,0.00375,0.04675,F,FIORI LANDING PAGE,FIO,UI5,Application Components->General Application Functions->ssuite.smartbusiness.tiles.comparison(FIORI LANDING PAGE),FIO,,,
AS02,1,6,4,58203,0.042,0.002,0,0.001,0.00165,0.04665,W,Change Asset Master Record,FI,Financial Accounting,Application Components->Financial Accounting->Asset Accounting->Basic Functions->AS02(Change Asset Master Record),FI-AA-AA,,,
fin.ar.customerinvoicelist,1,1,3,73296,0.042,0,0,0.001,0.0036,0.0466,F,Process Receivables,FIN,Financials,Application Components->Financials->Fiori UI for Financials->Fiori-UI for SAP Collections Management, SAP Credit Managem.->fin.ar.customerinvoicelist(Process Receivables),FIN-FIO-CCD,,
mdm.cmd.mdq.wrklst.products1,1,3,3,47907,0.042,0.001,0,0,0.0036,0.0466,F,Master Data Quality Worklist for Product,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.cmd.mdq.wrklst.products1(Master Data Quality Worklist for Product),CA-MDG-ADQ,,,
FSEPA_M2,1,6,3,62078,0.042,0.002,0,0.001,0.0015,0.0465,W,SEPA: Change Mandate,CA,Cross-Application Components,Application Components->Cross-Application Components->Bank->FSEPA_M2(SEPA: Change Mandate),CA-BK,,,
cus.sd.customerreturns.manage.wl,1,1,3,47970,0.042,0,0,0,0.00435,0.04635,F,Manage Customer Returns WL,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->Customer Returns->cus.sd.customerreturns.manage.wl(Manage Customer Returns WL),SD-SLS-RE,,,
MDG_BS_DL_MONITOR_CONF,1,6,14,692,0.042,0.002,0,0,0.00225,0.04625,W,Data Load Monitor,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Mass Load->MDG_BS_DL_MONITOR_CONF(Data Load Monitor),CA-MDG-ML,,,
MD12,1,5,16,68154,0.042,0.002,0,0.001,0.0012,0.0462,W,Change Planned Order,PP,Production Planning and Control,Application Components->Production Planning and Control->Material Requirements Planning->Master Data->MD12(Change Planned Order),PP-MRP-BD,,,
io.bpm.sworkfloweditor,1,4,3,23334,0.042,0.002,0,0,0.0021,0.0461,F,sWorkflowEditor,BC,Basis Components,Application Components->Basis Components->Business Management->SAP Business Workflow->Definition Time->io.bpm.sworkfloweditor(sWorkflowEditor),BC-BMT-WFM-DEF,,,
i2d.pp.changerequest.details.s1,1,1,1,48910,0.042,0,0,0,0.00405,0.04605,F,Manage Change Requests - S4H OP,PP,Production Planning and Control,Application Components->Production Planning and Control->Fiori UI for Production Planning and Control->Fiori UI for Production Planning and Control->i2d.pp.changerequest.details.s1(Manage Change Reque,PP-FIO-MRP,,,
MM17,1,4,3,52619,0.042,0.002,0,0.001,0.00105,0.04605,W,Mass Maintenance: Indus. Matl Master,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Material Master->MM17(Mass Maintenance: Indus. Matl Master),LO-MD-MM,,,
FCLOCO,1,5,6,124516,0.042,0.002,0,0.001,0.00105,0.04605,W,Fin. Closing cockpit–Execution–List,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->Financial Closing cockpit Add-on->FCLOCO(Fin. Closing cockpit–Execution–List),CA-GTF-FCC,,,
FAA_CMP,1,4,3,66779,0.042,0.002,0,0.001,0.00105,0.04605,W,Make Company Code Settings,FI,Financial Accounting,Application Components->Financial Accounting->Asset Accounting->Basic Functions->FAA_CMP(Make Company Code Settings),FI-AA-AA,,,
/1BCDWB/DBKNA1,1,1,1,184,0.042,0,0,0.004,0,0.046,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->/1BCDWB/DBKNA1(),SAP->CA->/1BCDWB/DBKNA1(),,,
/UIPATH/START_CIM_PROGRAM,1,1,167,184,0.042,0,0,0.004,0,0.046,R,UiPath CIM Start Program,CA,Cross-Application Components,Application Components->Cross-Application Components->/UIPATH/START_CIM_PROGRAM(UiPath CIM Start Program),SAP->CA->/UIPATH/START_CIM_PROGRAM(UiPat,,,
BCALV_GRID_DEMO,1,1,1,184,0.042,0,0,0.004,0,0.046,R,Simple ALV Control Call Demo Program,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BCALV_GRID_DEMO(Simple ALV Control Call Demo Program),SAP->BC->BC-SRV->BC-SRV-ALV->BCALV_GRID_,,,
R_ST05_TRACE_FILTER,1,3,5,184,0.042,0,0,0.004,0,0.046,R,ST05 Filter Conditions for Trace Records,BC,Transaction ST05,Application Components->Basis Components->Test Workbench->Use Subcomponents (See SAP Note 1156876)->Performance Test Tools->Transaction ST05->R_ST05_TRACE_FILTER(ST05 Filter Conditions for Trace Recor,SAP->BC->BC-TWB->BC-TWB-TST->BC-TWB-TST-,,,
O2_WAPP_DISPLAY_VERSION,1,1,632,184,0.042,0,0,0.004,0,0.046,R,02: Program to Display Version,BC,Web Application Builder,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->Web Application Builder->O2_WAPP_DISPLAY_VERSION(02: Program to Dis,SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
/1BCDWB/DBMARA,1,1,1,184,0.042,0,0,0.004,0,0.046,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->/1BCDWB/DBMARA(),SAP->CA->/1BCDWB/DBMARA(),,,
RFPUEB00,1,1,1,184,0.042,0,0,0.004,0,0.046,R,List of Parked Documents,FI,Financial Accounting,Application Components->Financial Accounting->RFPUEB00(List of Parked Documents),SAP->FI->RFPUEB00(List of Parked Documen,,,
/1BCDWB/DBTRDIR,1,1,16,184,0.042,0,0,0.004,0,0.046,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->/1BCDWB/DBTRDIR(),SAP->CA->/1BCDWB/DBTRDIR(),,,
/1BCDWB/DBWDY_APPLICATION,1,1,2,184,0.042,0,0,0.004,0,0.046,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->/1BCDWB/DBWDY_APPLICATION(),SAP->CA->/1BCDWB/DBWDY_APPLICATION(),,,
SWIA,1,51,9728,131,0.042,0.001,0,0.003,0,0.046,T,Administration Work Items,BC,SAP Business Workflow,Application Components->Basis Components->Business Management->SAP Business Workflow->SWIA(Administration Work Items),SAP->BC->BC-BMT->BC-BMT-WFM->SWIA(Admini,,,
/1BCDWB/DBWDY_CONF_APPLU,1,1,1,184,0.042,0,0,0.004,0,0.046,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->/1BCDWB/DBWDY_CONF_APPLU(),SAP->CA->/1BCDWB/DBWDY_CONF_APPLU(),,,
/IWFND/SUTIL_GW_CLIENT_SELECT,1,1,623,184,0.042,0,0,0.004,0,0.046,R,SAP Gateway Client - Select from DB,OP,IWF Common Services,Application Components->Occasional Platform User->Information Worker Foundation Framework->IWF Common Services->/IWFND/SUTIL_GW_CLIENT_SELECT(SAP Gateway Client - Select from DB),SAP->OPU->OPU-FND->OPU-FND-CS->/IWFND/SU,,,
/1BCDWB/DBVBAK,1,3,2,184,0.042,0,0,0.004,0,0.046,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->/1BCDWB/DBVBAK(),SAP->CA->/1BCDWB/DBVBAK(),,,
SAP_CONTROL_TEST,1,4,550,184,0.042,0,0,0.004,0,0.046,R,Example: Simple Tree Control (with Docum,BC,SAP GUI for Windows Controls,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP GUI for Windows Controls->SAP_CONTROL_TEST(Example: Simple Tree Control (with Documentation),SAP->BC->BC-FES->BC-FES-CTL->SAP_CONTROL,,,
SAPSIMPLE_TREE_MODEL_DEMO,1,6,734,184,0.042,0,0,0.004,0,0.046,R,Example: Simple Tree Model (with Documen,BC,Workbench Utilities,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Utilities->SAPSIMPLE_TREE_MODEL_DEMO(Example: Simple Tree Model (with Documentation)),SAP->BC->BC-DWB->BC-DWB-UTL->SAPSIMPLE_T,,,
SALV_DEMO_TREE_SIMPLE,1,7,2244,184,0.042,0,0,0.004,0,0.046,R,Demonstration Program for ALV OM Tree,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->SALV_DEMO_TREE_SIMPLE(Demonstration Program for ALV OM Tree),SAP->BC->BC-SRV->BC-SRV-ALV->SALV_DEMO_T,,,
Z_HEATMAP_V2,1,5,6120,184,0.042,0,0,0.004,0,0.046,R,Heat Map,CA,Cross-Application Components,Application Components->Cross-Application Components->Z_HEATMAP_V2(Heat Map),SAP->CA->Z_HEATMAP_V2(Heat Map),,,
BCALV_TREE_SIMPLE_DEMO,1,13,6331,184,0.042,0,0,0.004,0,0.046,R,Program BCALV_TREE_SIMPLE_DEMO,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BCALV_TREE_SIMPLE_DEMO(Program BCALV_TREE_SIMPLE_DEMO),SAP->BC->BC-SRV->BC-SRV-ALV->BCALV_TREE_,,,
/1BCDWB/DBO2PAGCON,1,23,3618,184,0.042,0,0,0.004,0,0.046,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->/1BCDWB/DBO2PAGCON(),SAP->CA->/1BCDWB/DBO2PAGCON(),,,
SAPTLIST_TREE_CONTROL_DEMO,1,22,2771,184,0.042,0,0,0.004,0,0.046,R,Example: List Tree Control (with Documen,BC,Workbench Utilities,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Utilities->SAPTLIST_TREE_CONTROL_DEMO(Example: List Tree Control (with Documentation)),SAP->BC->BC-DWB->BC-DWB-UTL->SAPTLIST_TR,,,
WB_MNGR_START_FROM_TOOL_ACCESS,1,1,1,184,0.042,0,0,0.004,0,0.046,R,Program WB_MNGR_START_FROM_TOOL_ACCESS,BC,Repository Browser,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Utilities->Repository Browser->WB_MNGR_START_FROM_TOOL_ACCESS(Program WB_MNGR_START_FROM_TOOL_ACCESS),SAP->BC->BC-DWB->BC-DWB-UTL->BC-DWB-UTL-,,,
USMD_CREQUEST_CREATE,1,6,10,16003,0.042,0.002,0,0,0.00195,0.04595,W,Creation of a Change Request,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_CREQUEST_CREATE(Creation of a Change Request),CA-MDG-AF,,,
MM02,1,4,2,74555,0.042,0.002,0,0.001,0.0009,0.0459,W,Change Material &,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Material Master->MM02(Change Material &),LO-MD-MM,,,
VA23,1,4,3,0,0.042,0.002,0,0,0.00165,0.04565,W,Display Quotations,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->VA23(Display Quotations),SD-SLS,,,
fin.ar.correspondence.create.v2,1,3,3,33739,0.042,0.001,0,0,0.00255,0.04555,F,Create Financial Correspondence,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI  for Accounts Receivable->fin.ar.correspondence.create.v2(Create Financial Correspondence),FI-FIO-AR,,,
APB_LAUNCHPAD,1,4,5,1117,0.042,0.002,0,0,0.0015,0.0455,W,Launchpad,BC,Basis Components,Application Components->Basis Components->Musing Tools->ABAP Report Launchpad based Navigation->APB_LAUNCHPAD(Launchpad),BC-MUS-LP,,,
cross.fnd.fiori.inbox,1,1,2,24105,0.042,0,0,0,0.0033,0.0453,F,My Inbox,CA,Cross-Application Components,Application Components->Cross-Application Components->Cross-Application Components->Cross-Application Components->cross.fnd.fiori.inbox(My Inbox),CA-INB-FIO,,,
fin.ar.bankstatements.manage,1,1,1,33047,0.042,0,0,0,0.0033,0.0453,F,Fiori App - Manage Bank Statements - BSP,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI  for Accounts Receivable->fin.ar.bankstatements.manage(Fiori App - Manage Bank Statements - BSP),FI-FIO-AR,,,
mdm.cmd.mdq.ruleminings1,1,1,5,37037,0.042,0,0,0,0.0033,0.0453,F,MD Quality Manage Rule Mining Runs,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.cmd.mdq.ruleminings1(MD Quality Manage Rule Mining Runs),CA-MDG-ADQ,,,
cus.sd.schedgagrmtediprocessingoption.ma,1,2,2,23258,0.042,0.001,0,0,0.00225,0.04525,F,Manage Delivery Schedule Processing,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->Outline Agreements (Customer)->Customer Scheduling Agreement->cus.sd.schedgagrmtediprocessingoption.manages1(Manage Delivery Schedule Processing),SD-SLS-OA-SCH,,,
fin.cash.transfercash,1,2,5,31547,0.042,0.001,0,0,0.00225,0.04525,F,Cash Bank Transfer,FIN,Financials,Application Components->Financials->Fiori UI for Financials->Fiori UI for Cash and Liquidity Management->fin.cash.transfercash(Cash Bank Transfer),FIN-FIO-CLM,,,
mdm.cmd.mdq.minedrules1,1,1,3,32054,0.042,0,0,0,0.00315,0.04515,F,Mined Rules,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.cmd.mdq.minedrules1(Mined Rules),CA-MDG-ADQ,,,
fin.ar.lineitems.display,1,1,6,47616,0.042,0,0,0,0.00315,0.04515,F,Fiori App - Display Customer Line Items,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI  for Accounts Receivable->fin.ar.lineitems.display(Fiori App - Display Customer Line Items),FI-FIO-AR,,,
RECN,1,4,5,37346,0.042,0.002,0,0,0.00105,0.04505,W,Process Contract,RE,Real Estate Management,Application Components->Real Estate Management->Flexible Real Estate Management->Real Estate Contract->RECN(Process Contract),RE-FX-CN,,,
OMSG,1,4,4,41431,0.042,0.002,0,0,0.00105,0.04505,W,Account Groups: Vendor,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->OMSG(Account Groups: Vendor),LO-MD-BP-VM,,,
SM20,1,27,10604,133,0.042,0,0,0.003,0,0.045,T,Analysis of Security Audit Log,BC,Security Audit Log,Application Components->Basis Components->Security->Security Audit Log->SM20(Analysis of Security Audit Log),SAP->BC->BC-SEC->BC-SEC-SAL->SM20(Analys,,,
SCC3,1,3,1851,136,0.042,0,0,0.003,0,0.045,T,Client Copy Log,BC,Client Copy,Application Components->Basis Components->Change & Transport System->Client Copy->SCC3(Client Copy Log),SAP->BC->BC-CTS->BC-CTS-CCO->SCC3(Client,,,
SWI1,1,4,3,131,0.042,0,0,0.003,0,0.045,T,Work Item Retrieval,BC,SAP Business Workflow,Application Components->Basis Components->Business Management->SAP Business Workflow->SWI1(Work Item Retrieval),SAP->BC->BC-BMT->BC-BMT-WFM->SWI1(Work I,,,
EDOC_TR_GUS_NEW,1,5,519,116,0.042,0,0,0.003,0,0.045,T,Retrieve eInvoice Users,CA,eDocument Turkey,Application Components->Cross-Application Components->General Application Functions->Country-Specific Objects->eDocument Framework->eDocument Turkey->EDOC_TR_GUS_NEW(Retrieve eInvoice Users),SAP->CA->CA-GTF->CA-GTF-CSC->CA-GTF-CSC-,,,
AL11,1,11,3964,116,0.042,0,0,0.003,0,0.045,T,Display SAP Directories,BC,Operating System Monitoring Tool,Application Components->Basis Components->Use Subcomponents->CCMS Monitoring & Alerting->Operating System Monitoring Tool->AL11(Display SAP Directories),SAP->BC->BC-CCM->BC-CCM-MON->BC-CCM-MON-,,,
IQS1,1,3,2,84176,0.042,0.001,0,0.001,0.0006,0.0446,W,Create Notification - Extended View,QM,Quality Management,Application Components->Quality Management->Quality Notifications->IQS1(Create Notification - Extended View),QM-QN,,,
fin.ap.monitor.payments,1,1,2,37005,0.042,0,0,0,0.00255,0.04455,F,Fiori App - Monitor Payments,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.monitor.payments(Fiori App - Monitor Payments),FI-FIO-AP,,,
fin.gl.auditjournal,1,1,2,36812,0.042,0,0,0,0.00255,0.04455,F,GL Accountant - Audit Journal,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.gl.auditjournal(GL Accountant - Audit Journal),FI-FIO-GL,,,
fin.cons.jrnlentr,1,1,3,41694,0.042,0,0,0,0.00255,0.04455,F,Database List of Journal Entries Display,FIN,Financials,Application Components->Financials->S4HANA Financial Consolidation[Cloud]->Group Journal Entry for S/4HANA Group Reporting->fin.cons.jrnlentr(Database List of Journal Entries Display),FIN-CS-JE,,,
fin.gl.hierarchy.manage,1,1,742,49775,0.042,0,0,0,0.00255,0.04455,F,Fiori App - Finance Hierarchy Manage,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.gl.hierarchy.manage(Fiori App - Finance Hierarchy Manage),FI-FIO-GL,,,
FK06,1,2,1,57538,0.042,0.001,0,0.001,0.00045,0.04445,W,Mark Vendor for Deletion (Acctng),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->FK06(Mark Vendor for Deletion (Acctng)),LO-MD-BP-VM,,,
XK06,1,2,1,57483,0.042,0.001,0,0.001,0.00045,0.04445,W,Mark vendor for deletion (centrally),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->XK06(Mark vendor for deletion (centrally)),LO-MD-BP-VM,,,
sap.io.bpm.sworkfloweditor.lib.reuse.cor,1,1,5,13183,0.042,0,0,0,0.00225,0.04425,F,FIORI LANDING PAGE,FIO,UI5,Application Components->Fiori UI for Basic Data in Logistics->sap.io.bpm.sworkfloweditor.lib.reuse.core.services(FIORI LANDING PAGE),FIO,,,
UKM_BP_DISPLAY,1,3,3,0,0.042,0.001,0,0,0.0012,0.0442,W,Master Data List,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_BP_DISPLAY(Master Data List),FIN-FSCM-CR-CR,,,
DRF_FPM_OIF_MONITORING,1,3,6,0,0.042,0.001,0,0,0.0012,0.0442,W,Monitoring Webdynpro Application,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Data Replication Framework->DRF_FPM_OIF_MONITORING(Monitoring Webdynpro Application),CA-MDG-DRF,,,
MDG_BS_WD_RSI_DISPLAY,1,3,7,0,0.042,0.001,0,0,0.0012,0.0442,W,Replication Status Information,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Data Replication Framework->MDG_BS_WD_RSI_DISPLAY(Replication Status Information),CA-MDG-DRF,,,
mdm.cmd.mdq.ovp.products1,1,3,2,10650,0.042,0.001,0,0,0.0012,0.0442,F,Master Data Quality Overview Page for Pr,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.cmd.mdq.ovp.products1(Master Data Quality Overview Page for Pr),CA-MDG-ADQ,,,
mdm.mdg.cr.bupa.alps1,1,1,1,30446,0.042,0,0,0,0.0021,0.0441,F,Change Request Analysis for Business Par,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.mdg.cr.bupa.alps1(Change Request Analysis for Business Par),CA-MDG-ADQ,,,
fin.ap.downpayment.request.manage,1,1,13,41402,0.042,0,0,0,0.0021,0.0441,F,Fiori App - Manage Down Payment Requests,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.downpayment.request.manage(Fiori App - Manage Down Payment Requests),FI-FIO-AP,,,
/AIFX/WDA_MSG_MONITOR,1,3,15,16202,0.042,0.001,0,0,0.00105,0.04405,W,Message Monitor,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->Application Interface Framework->/AIFX/WDA_MSG_MONITOR(Message Monitor),CA-GTF-AIF,,,
USMD_EDITION,1,3,17,10048,0.042,0.001,0,0,0.00105,0.04405,W,Edition,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_EDITION(Edition),CA-MDG-AF,,,
DRF_ADHOC_REPLICATION,1,3,8,7140,0.042,0.001,0,0,0.00105,0.04405,W,Adhoc Replication,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Data Replication Framework->DRF_ADHOC_REPLICATION(Adhoc Replication),CA-MDG-DRF,,,
POWL,1,3,7,4630,0.042,0.001,0,0,0.00105,0.04405,W,Personal Object Work List,BC,Basis Components,Application Components->Basis Components->Musing Tools->Personal Object Worklist->POWL(Personal Object Work List),BC-MUS-POW,,,
USMD_FILE_DOWNLOAD,1,3,5,2201,0.042,0.001,0,0,0.00105,0.04405,W,File Download,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_FILE_DOWNLOAD(File Download),CA-MDG-AF,,,
MDG_DATALOAD_EXPORT_WDA,1,3,5,691,0.042,0.001,0,0,0.00105,0.04405,W,Export Master Data and Mapping Informati,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Mass Load->MDG_DATALOAD_EXPORT_WDA(Export Master Data and Mapping Informati),CA-MDG-ML,,,
